"date","close","volume","open","high","low"

"2019/05/03","43.2900","12751040.0000","42.6500","43.5050","42.7400"
"2019/05/02","42.6500","18051130.0000","43.4200","43.3900","42.3600"
"2019/05/01","43.4200","14327600.0000","43.5300","43.8000","43.3000"
"2019/04/30","43.5300","15549060.0000","43.5600","43.6600","43.0400"
"2019/04/29","43.4500","11394510.0000","43.1700","43.5000","42.9100"
"2019/04/26","43.0800","16200290.0000","43.9300","43.9638","42.8700"
"2019/04/25","42.9300","27725280.0000","42.4500","43.8100","42.1100"
"2019/04/24","41.8500","23736970.0000","42.0300","42.2450","41.7400"
"2019/04/23","41.9900","16153250.0000","41.9700","42.1900","41.7100"
"2019/04/22","42.0000","9939222.0000","42.2600","42.4050","41.8550"
"2019/04/18","42.4300","13219560.0000","42.7400","42.8300","42.0400"
"2019/04/17","42.5700","15266690.0000","42.1400","42.6400","41.8900"
"2019/04/16","41.9700","10053440.0000","41.8400","42.1800","41.5116"
"2019/04/15","41.7800","12727750.0000","41.3200","41.8000","41.2600"
"2019/04/12","41.3000","11536320.0000","41.0700","41.3300","40.9450"
"2019/04/11","41.0400","9216413.0000","41.1200","41.1400","40.8500"
"2019/04/10","41.0800","13255530.0000","41.1800","41.2850","40.7800"
"2019/04/09","41.0400","14882110.0000","40.7000","41.1400","40.5700"
"2019/04/08","40.7100","12467200.0000","40.3500","40.7500","40.1700"
"2019/04/05","40.4200","21141030.0000","40.4300","40.5500","40.3100"
"2019/04/04","40.4100","12059120.0000","40.3200","40.6200","40.1200"
"2019/04/03","40.2700","21040170.0000","40.3000","40.5800","39.9700"
"2019/04/02","40.0200","14202370.0000","40.1700","40.3888","39.8100"
"2019/04/01","40.3100","13844170.0000","40.3400","40.3900","39.9700"
"2019/03/29","39.9800","21118400.0000","40.2000","40.3400","39.5900"
"2019/03/28","40.4200","10451170.0000","40.2100","40.5000","40.1200"
"2019/03/27","40.2100","18222610.0000","39.6800","40.3900","39.6800"
"2019/03/26","39.6300","11187030.0000","39.4000","39.7200","39.2100"
"2019/03/25","39.1800","15810440.0000","39.4800","39.5200","38.9350"
"2019/03/22","39.4600","17003650.0000","39.9400","39.9700","39.3450"
"2019/03/21","40.0500","17268830.0000","39.4500","40.1651","39.2500"
"2019/03/20","39.4700","22309170.0000","39.7600","39.8000","38.9000"
"2019/03/19","39.7800","16683840.0000","39.9800","40.3500","39.6950"
"2019/03/18","39.9200","20207660.0000","40.2300","40.4500","39.8800"
"2019/03/15","40.4700","66887430.0000","39.9100","40.5200","39.5400"
"2019/03/14","39.8700","16537520.0000","39.4700","39.9500","39.3700"
"2019/03/13","39.5600","21181970.0000","39.6900","39.8600","39.3700"
"2019/03/12","39.4900","21374680.0000","39.1600","39.7278","38.9700"
"2019/03/11","39.1700","23114290.0000","38.2500","39.2400","38.1000"
"2019/03/08","38.1900","13417720.0000","38.2200","38.4800","37.8900"
"2019/03/07","38.3800","14113110.0000","38.5700","38.6600","38.1400"
"2019/03/06","38.6100","11013340.0000","38.8800","38.9500","38.4500"
"2019/03/05","38.7200","14649210.0000","38.7900","38.9900","38.5500"
"2019/03/04","38.7300","15970440.0000","39.2500","39.6500","38.3800"
"2019/03/01","39.1000","23899660.0000","38.8500","39.5100","38.8201"
"2019/02/28","38.6700","18120250.0000","38.5500","38.9000","38.5150"
"2019/02/27","38.5300","17533730.0000","38.6400","38.7150","38.3900"
"2019/02/26","38.8000","17838710.0000","38.6300","38.8600","38.4100"
"2019/02/25","38.5700","15899940.0000","38.6600","38.8000","38.3100"
"2019/02/22","38.6100","20376890.0000","38.4800","38.7350","38.4050"
"2019/02/21","38.4700","22071940.0000","37.6100","38.4700","37.4400"
"2019/02/20","37.7900","14939590.0000","37.7000","37.9250","37.5300"
"2019/02/19","37.5500","12853460.0000","37.7500","37.9400","37.4800"
"2019/02/15","37.7700","15872050.0000","37.6000","37.7800","37.1500"
"2019/02/14","37.2600","15908450.0000","36.9600","37.4600","36.7517"
"2019/02/13","37.0300","14063260.0000","37.2400","37.4500","36.7900"
"2019/02/12","37.2400","14048260.0000","37.3100","37.4500","37.0418"
"2019/02/11","37.0000","14130600.0000","37.7000","37.7400","36.9000"
"2019/02/08","37.6000","17559530.0000","37.5000","37.7600","36.9900"
"2019/02/07","37.6800","21555240.0000","37.1600","37.7100","37.0900"
"2019/02/06","37.1700","19077600.0000","37.1400","37.2900","36.7900"
"2019/02/05","37.1500","24175670.0000","36.8700","37.2700","36.5700"
"2019/02/04","36.7700","22839970.0000","36.7400","36.8700","36.2700"
"2019/02/01","36.7900","18646920.0000","36.7100","36.8800","36.4800"
"2019/01/31","36.5700","30178680.0000","35.8800","36.8100","35.7700"
"2019/01/30","35.4300","22446820.0000","36.0300","36.0300","35.2500"
"2019/01/29","36.0800","19216350.0000","35.3800","36.3300","35.3800"
"2019/01/28","35.3700","25579410.0000","35.4800","35.5350","34.6700"
"2019/01/25","35.7800","25194040.0000","36.6300","36.8300","35.5600"
"2019/01/24","36.2400","39266010.0000","36.8500","36.8800","35.4400"
"2019/01/23","36.8900","35978470.0000","36.0900","37.4235","35.9600"
"2019/01/22","34.9700","32790830.0000","36.0500","36.0900","34.8300"
"2019/01/18","36.2100","22623650.0000","36.1300","36.2800","35.5300"
"2019/01/17","35.9100","25345660.0000","35.8000","36.2000","35.7450"
"2019/01/16","35.9000","20780790.0000","36.0100","36.3200","35.8800"
"2019/01/15","35.8300","13436380.0000","35.7200","36.0000","35.5700"
"2019/01/14","35.7700","16519090.0000","35.4100","35.9850","35.3500"
"2019/01/11","35.6300","19146380.0000","35.6100","35.7400","35.3100"
"2019/01/10","35.8200","16655430.0000","35.9100","36.0000","35.5000"
"2019/01/09","36.0600","16045070.0000","35.8700","36.1200","35.5100"
"2019/01/08","35.7200","20416540.0000","35.6600","35.8900","35.3600"
"2019/01/07","35.4300","26157950.0000","35.6300","35.9075","35.2700"
"2019/01/04","35.8100","22843840.0000","35.0300","35.8400","34.8600"
"2019/01/03","34.6400","28709160.0000","34.3300","35.3300","34.1300"
"2019/01/02","34.3700","16967080.0000","33.4900","34.4500","33.4200"
"2018/12/31","34.0500","21613240.0000","34.2900","34.6000","33.3000"
"2018/12/28","34.3500","16230180.0000","34.8600","35.3600","34.1800"
"2018/12/27","34.4700","17448290.0000","33.8000","34.5000","33.1100"
"2018/12/26","34.1400","22269230.0000","33.2600","34.1700","32.6100"
"2018/12/24","33.0700","13391430.0000","33.7200","33.9700","33.0300"
"2018/12/21","33.7500","38680730.0000","34.6700","36.0000","33.6700"
"2018/12/20","34.6200","27208780.0000","35.2200","35.4300","34.2300"
"2018/12/19","35.1900","32316580.0000","35.8200","36.5600","34.9500"
"2018/12/18","35.6500","23529770.0000","36.4600","36.4600","35.2250"
"2018/12/17","36.2100","20286230.0000","36.3900","36.8600","36.0000"
"2018/12/14","36.3400","18146900.0000","36.3900","36.8500","36.1800"
"2018/12/13","36.7600","18371590.0000","37.0300","37.3000","36.3900"
"2018/12/12","36.9800","23508710.0000","37.3100","37.4900","36.8300"
"2018/12/11","36.8400","23890840.0000","37.7900","37.9300","36.7400"
"2018/12/10","37.3500","16235390.0000","37.5400","37.6000","36.7100"
"2018/12/07","37.4100","19530700.0000","37.6600","38.0200","37.0750"
"2018/12/06","37.8800","26414740.0000","37.3100","37.9200","36.9800"
